;Mapudungun;Traduccion
802;nii itrofilyem nian;voy a tener de todo\n
803;ayllayem kiñe fayesey throat;Eran nueva, murió uno.\n
804;ütrufeyem elelmeki;le tiraban cosas\n
805;nentuyem che  ;a las personas?\n
806;laukelafuy longko pingekefuy kuyfiyem ;no se cae el cabello decían antiguamente\n
807;fey femngechi küpayem pun ;ese asi viene la noche\n
808;depue tokay ñi ñukeyem ;después tocó la que era su madre.\n
809;kuduley ñi ñukeyem ;Estaba acostada la que era su madre\n
810;ñiu ñukeyem amuaiñ nga timu veloriomu;mi madre iba a ir allí al velorio\n
811;arelenu ñi ñukeyem ;me prestó la que era mi madre.\n
812;pingekey kuyfikeche ta p  iñche tañi ñukeyem ;decían las personas antigua mi finada madre\n
813;ta iñche tañi kuyfi tañi ñukeyem tañi chawem ta ;pues yo, antes mi finada madre, mi finado padre pues \n
814;ta che ta kuyfi re ngülammu iñche tañi ñukeyem ;la persona antes solo con el consejo, yo mi finada madre\n
815;ñi tiuyem yemekeafuiñ kiñeke antürume ;mi finado tío iría a buscar algunos, sacaba\n
816;pikeeneu itrokom che melileneeu ñi tiuyem fey ;me decía, toda la gente cuatro medio mi finado tío y,\n
817;iñche tañi ñukeyem tañi chauyem ta kuyfi ta ;Yo mi finada madre, mi finado padre pues antes\n
818;mupitulayafuyengün pero feyem tañi  reloj ;no habrían creido pero eso era así mi reloj\n
819;tañi malleyem ;el que era mi tío\n
820;kiduem taiñ taiñ fütakecheyem ;nuestros, nuestros, propios mayores \n
821; kom felekefuyem noise;Todo estaba así.  \n
822;wariamu puwi fey ñi ñukeyem ;Llegó a la ciudad por su finada madre\n
823;feyti atakeyem fey feyta yengeki ;cuando se desmaya ahí lo llevan,\n
824;feymu ñi pen ñi kude kukuyem ;por eso lo que vio mi finada abuela\n
825;ta dengüllyem ;y también porotos, \n
826;ka kullin fülpuyem famechi ;Otros animales se acerca así\n
827;vey incheñ ñi ñukeyem ;entonces mi finada madre \n
828;tufiyem ti ngüfüllin pingi;ese tranca orina se llama.\n
829;arto jodiw müleyem  rümgoyem che ;harto grave cuando a estado cuando hace harina cruda la gente \n
830;trawüyem iyagel uh ;cuando se juntan la comida. \n
831;ñi ñukeyem nütramkarumewkefuyngu;mi difunta madre conversaban a veces\n
832;chem domongevel tañi ñukeyem ;Que mujer era mi finada madre \n
833;veymu ta fchakecheyem  ;por eso los finados ancianos \n
834;kuyvi ta vütakeche rangiantüyem ;antes los ancianos a medio día\n
835;tañi kuye awelayem ;a mi finada abuela\n
836;kuyvi tañi awelayem ;antes mi finada abuela\n
837;tañi awelayem ta ;mi finada abuela\n
838;ta vemniekevenew tañi awelayem ;pues me tenía así mi finada abuela\n
839;tañi ñukeyem fawpüle tripalay ;nuestra madre no salieron de aca\n
840;inche ñi ñuke yem re mapuche dungukefulu kay;mi finada madre, si hablaba puro mapuche\n
841;ñi kude ñuke yem feyta fellentuy pu ñi lamuen em ;mi finada vieja madre esta creyó pues, es su hermana\n
842;konpa püllü yem machi;Cuando la machi hace entrar almas\n
843;tutengeyem   si;cuando se le agrada ahí sí.\n 
844;mati lawentuyem mapu lawen tulan ;de esos remedios tomé, no tome remedio de la tierra.\n
845;fey inangümakefuy tripayem kullin;lloraba cada vez que salian los animales.\n 
846;soy kutran kuwafuy yem  pu ;mas me hubiese enfermado pués.\n 
847;kimvuyem ;Sabía \n
848;ka inche tañi ñukeyem ;también mi difunta madre \n
849;konkiawkevuy tañi pu tiayem ;siempre andaba con mis difuntas tías\n
850;fewla rüleyem ;Ahora cuando se afiebran \n
851;feypiki tañi ñukeyem ;Así decía mi difunta madre \n
852;kim lawenkevuyem ;sabía hacer remedio \n 
853;fütrake aweluyem ;los viejos abuelos que fueron.\n
854;wauyuyem che;al sangrar la nariz de una persona?.\n
855;tañi pu ngeyem kutrankey;nuestra vista se enferma\n
856;ngillatumeken worküayem ;Realizo oraciones cuando bebo \n
857;domongeayngün  wentrungeayem  ;puede ser mujer o hombre puede ser \n
858;weda kawellu feypi ta füta kuyficheyem ;caballo malo decían los antiguos antes,  \n
859;ñi kude tiayem tüfangen ;mi finada vieja tía\n
860;tripay ñi kude kude ñukeyem ;salió mi mamá, mi difunta vieja madre \n
861;kidu mongelenu ñi kude kude ñukeyem noise ;sola me mejoró mi difunta vieja madre.\n
862;feli inche ñi ñuke yem ;Así, la difunta madre mía\n
863;inche ayentukefun ñi ñukeyem pu;yo me reía de mi difunta madre pues\n
864;kimkefuy pu ñukeyem ;Sabía pues mi difunta madre\n
865;inche afkadiawkefun ñi kude ñukeyem ;Yo andaba a la costilla de mi difunta madre\n
866;machireke mülekakevuy ñi ñukeyem pu;como machi solía estar mi madre pues\n
867;tañi ñukeyem fentretu lawentuenu ;mi madre me hizo muchos remedios\n
868;rüngül pilun pi tañi ñukeyem ;\n
869;fey fey tati tukulelkefenu ñi ñukeyem ;Eso, eso es lo que me colocaba mi madre\n
870;wawüyumu fey famtukulelkefenu ñi ñukeyem ;\n
871;fey gueno elukefenu kafe tañi ñukeyem ;Bueno mi madre me daba café\n
872;fey elukefuiñ ñi ñukeyem ;Eso le daba a mi madre\n
873;femngechi peglleñ femekefeiñmu ñi ñukeyem ;esa verruga era la que me trataba mi madre\n
874;taiñ ñukeyem femngechi kimün ta elungeiñ  pu ;nuestra madre yenía este tipo de conocimiento le entregaron pues\n
875;pipingey ñi ñukeyem ;decía mi madre,\n
876;ñi ñukeyem chumuechi chi ta rakiduammuwmelu ;mi madre, no se cómo pensaría\n
877;he katrü pütrayem pu mapuche ;eh se cortan el estomago los mapuche\n
878;kam amukelafuy chi katrü pütrayem ;o no van por la cortadura del estomago.\n
879;welngiyem welgiyem ;Lo dejan de lado, lo dejen de lado \n
880;wüllngodyem kusenmu kiñekemu he küdawüyem he;Cuando se safa de vieja o algunos trabajando.\n
881;kawellu iloyem fey ;Comian carne de caballo\n
882;kawellu ilo iyem ;Con la carne de caballo\n
883;mj he itomiyem che kay ;Mj, eh cuando le entra algo a la gente y\n
884;pafmuyem che ka ketroki pingi fempelaychi ;Cuando tiene pasmo la gente se quedan quietos dicen \n
885;tañi elelputu tañi fchakecheyem ;que lo había dejado los viejitos
886;pütacheyem noise veychi ngillatuwemu ;el anciano en ese espacio donde hace la seremonia\n
887;feley may feleyem        ;Así es cuando estan..                                                                                                                                                                                                         
888;püta chau chafoyem püchake che femki ;gran padre el resfriado las personas de edad le toca \n
889;yavüngekevuy vuchakeche yem ;tenian fuerza los antiguos\n
890;itrovill ikevuy füchakecheyem ;comian de todos los antiguos\n
891;vüchakecheyem inche kimpañ ;yo conoci a gente antigua\n
892;ñi aweluyem nievuy  mas ;mi finado abuelo tenía mas\n
893;welu füchacheyem ;pero la gente antigua\n
894;inche ñi aweluyem ;era mi abuelo\n
895;kuyvicheyem vemngelay;la gente antigua no hacia eso\n
896;taiñ kuyvikecheyem ;nuestros antepasados\n
897;inchin tañi tañi awelitayem uh;nuestra, nuestra abuelita\n
898;inchin awelayem kontaki;nuestra abuela contaba\n
899;lawen tañi  ñukeyem ve ;tenia conocimiento mi finada madre \n
900; pera trangliñ küpayem ngewetulay;cuando sale helada no hay la pera \n
901;ka amuyem tamu yemeyiñ pichiñ yewün ;cuando vamos, también vamos a buscar un poco de cosas\n
902;pukem tati putremiyem che afkey tati ;en el invierno cuando está viejo la persona se acaba\n
903;ka putuayem kullingekelu varga ;pues también lo pagaban varga\n
904;spaperdey ñi fütayem ;Perdió su esposo\n
905;tañi  füchakecheyem ;mis antepasados\n
906;feyta püñeñelmeyu ta andreyem tati ;le trató el parto el que era el Andrés pues\n
907;pingerke tañi ñukeyem ;le habían dicho a mi madre\n
908;vey vüreyem chi trapi ;si sale el olor fuerte del ají \n\n
909;vey vürenoyem ;y si no sale fuerte el olor\n
910;askintuyem pu wanglen ;cuando salen a mirar las estrellas \n
911;feyentuyem kiñe lawenmu ;le tienen confianza a un remedio\n
912;arengeyem ;Cuando hace calor\n
913;vey wütrengeyem tripawetukelay;y cuando hace frío no salen.\n
914;ngeyem che ;que tiene la gente. \n
915;y lüfiyem che ;y cuando se quema la gente \n
916;mawida illküyem ka müna ;Cuándo la montaña se enoja\n
917;noise iñche ñi awelu aweluyem ;mi abuelo, mi finado abuelo\n
918;inche ñi ñukeyem kutrankawkey ;la que era mi madre se sacrificó\n
919;tañi elkünuetew ta  herencia  reke tañi kuse awelayem ;que me dejó como herencia mi finada abuela,\n
920;pichinmu mongetukefuy amukefuyem pitalmu ;Cuando niña vivía y iba al hospital \n
921;chumül ñi kutranki lloyinayiyem ;Cuando se enfermo andaba como cansada \n
922;rume arreyem ka kosina mu ;Hace mucha calor en la cocina \n
923;uh ey rume areyem che kosina mu ;Muy caldeada la gente en la cocina \n
924;tripafentuy wekun kürüftuyem ;y salen a fuera con el viento \n
925;fey uh triw nawyem chi lawen ;así se baja ese remedio \n
926;fey mongeki pütokolngeyem pulgante ;si vive tiene que llevar bebiendo el pulgante \n
927;yemengeayem chi lawen;y luego se trae el remedio.\n
928;kimki lawen che asümelngeyem ;cuando la gente sabe de remedio así enseña\n 
929;kutranküleyem pu koñi ;ya estoy enferma pues hija \n
930;tañi füchache yem tttttt;decían nuestros antepasados\n
931;fütrakeche yem feyta aflu fey tttttt;los antepasados al terminar ésto\n
932;mapuche kuyfi entungeyem tttttt;El mapuche antiguamente al sacar\n
933;feypikefuy tañi fücha awelu yem ttttt;decia mi abuelo que fue\n
934;fütrakecheyem galgal ;antepasados galgal.\n
935;tañi füchakecheyem ;nuestros antepasados.\n
936;yamün kiñekemu kay allfüyem wentru tüfa ;Temo avece cuando lastiman lo hombre ahora \n
937;vemuechi tripayem cha ngünen ;así cuando sale QQQQQQ\n
938;nielu femngechi naunautuayem ;el que tiene así ............................\n
939;iñche doy meli mari tripantu müten niefuyem ;yo sólo tenía, un poco más de cuarenta años tenía\n
940;iñche tañi feypikefuy tañi ñukeyem ;me lo decía mi difunta madre\n
941;feymeu ta mülekey ta iyagel pikey tañi ñukeyem ta kuyfi;por eso había comida decía mi difunta madre antiguamente\n
942;kimpan feychi mültrünelkeiñmu ñukeyem ;conocí el catuto que me hacía mi difunta madre\n
943;kuyfi tati pingeiñmu taiñ ñukeyem ;antiguamente nos decía mi difunta madre\n
944;feypikey tañi ñukeyem ta;así decía mi difunta madre\n
945;feyta yemekeyiñ pikey tañi ñukeyem kuyfi pikey;eso íbamos a buscar decía mi difunta madre, antiguamente decía\n
946; ka feley feypikey tañi ñukeyem ;también es así, decía mi difunta madre\n
947;kimlumu niefuyem lawen tati pewen ;para los que saben debe tener remedios la araucaria\n
948;tañi piukeyem pikey tañi furiyem pikey;Su corazón dice, su espalda dice.\n 
949;tañi furiyem pikey;Su espalda dice.\n 
950;kudeyem kuifi kudekelafuimi tramkelaymi rume;cuando corría ante hechaba carrera no se ha caído \n
951;iñche ka mapuche kafey mapuchengefuyem mapuchenga;yo también soy mapuche, también soy mapuche\n
952;ka mapuchengefuy ñi ñukeyem ;y mi finada madre también era mapuche\n
953;pütra yem allfeñmu lay;Por una herida en el estómago murió, \n
954;take cheyem antiku cheyem ;Los ancianos, los antiguos difuntos \n
955;ta ke cheyem ;La gente antigua\n
956;ka müley ka fütake cheyem ;También hay antiguos\n
957;feyta kimlu tati pu kudeyem take cheyem ;estos sabían pues de competencias, nuestros antiguos,\n
958;mangiwitratripatuy ta püllü cheyem tati;\n
959;pelotuchepelu kimlu feyem erkepi;el que hace pelotun a la gente ese sabe. \n
960;chuchilekefel ta fütake cheyem ;cómo estaban los mayores \n
961;antiku cheyem ;la gente antigua, \n
962;tañi fütake cheyem tati ;nuestras  gentes mayores.\n
963;pu füchakecheyem tañi fotüm;los hijos de los ancianos\n
964;chuchi señorayem rayan tüfi ;quizás a cual  señora le raye esa vez. \n
965;kellungenoyem uh ngelkuy;Cuando no lo ayudan, queda aturdido.\n
966;ñi ñukeyem falleci;tenía mi madre cuando falleció.\n
967;fey perdey ñi ñukeyem  pu ;Así perdi a mi difunta madre, \n
968;fey ñi üdeyem che;ahí es donde lo desprecian\n
969;kuyfike cheyem ta durakefuy;antes si que la gente duraba mucho  \n
970;welu inche ta nien ta ngünayem ;pero yo tengo escogidos en mi casa\n
971;feyta wingkayem tüfa ;y el huinca ahora\n
972;inche tañi vücha malleyem tati ;mi gran tio paterno pues\n
973;ñi kude papayem veypikevuy nga tüvey ;mi viejita abuela decía eso pues\n
974;inche nga ñi wecha malleyem ;mi pobre finado tio paterno\n
975;vey ñi vücha cheyem ;y que era mi gran persona\n
976;willeñengu pütokoy chafoyem ;con orina podrida lo toma cuando se refria. \n
977;tañi fütake cheyem tati;mis viejos antepasados ese.\n
978;lonko yem piuke kom ;mi cabeza, corazon, todo\n
979;lonko llanküyem ;cuando se caemi pelo\n
980;rüngül piluyem ;dolor de oido\n
981;ñi füta abueluyem lamngen;mi finado abuelo pues hermana.\n 
982;fta abueleyem meki ñi mültrünün feymu ;anciano abuelo estaba de le haciendo catuto ahí\n
983;meki ñi mültrünün ñi füta abueluyem ;estaba dele comiendo catuto mí finado abuelo\n
984;abulueyem kimün tañi füta abueluem;abuelo pues conocí  mi finado abuelo.\n 
985;pütakecheyem kudeke püllü ta rume ;ancianos, ancianas pues tenían mucha\n
986;pütakecheyem feymew ta newentukefuy ;los ancianos por eso tenían mucha fortaleza\n
987;ta pütakeheyem tüfa ta no femwelay ;los ancianos pues ahora ya no es así\n
988;ta che pütrüke che ta afi pichikecheyem ;la gente hartas personas se termina los niños chico\n
989;abueluyem kimnipan tañ abueluyem ;abuelo conocí a mi abuelo \n
990;nütramkakevenu tañi abueluyem ;me conversaba mi abuelo\n
991;müte kuyfi ñi abuelayem trempan ;mucho antes con mi abuela creci\n
992;tami  ñükeyem ;mi madre\n
993;kuyvi tami ñukeyem feypieymew ;ante tu madre que fue me dijo \n
994;füchakecheyem tañi elerpuel longkomu ;lo anciano que  nos dejaron en la cabeza \n
995;elangefuy fütakecheyem ta niefuy;es bueno las gentes anciano tenían \n
996;entunieñmatu tañi kude ñukeyem ;le iba sacando mí finada madre.\n
997;tüfi kude ñukeyem akuy likan ;Entonces mí finada anciana madre lican. \n
998;fey kude ñukeyem ;Entonces mí finada anciana madre \n
999;tañi kude ñukeyem tati ;mí fina anciana madre pues\n
1000;afuelayem chumkefuy ñi ngillatu engün anta tüfi ;ante la finada abuela que hacían entonces en su gillatunes.\n 
1001;afuelayem tüfamu feli ta pu nguman;la fina abuela estaba así los llantos. \n
1002;welu pitrunmeki mawayem ;Pero ...........................\n
1003;müli ka pitrunmeki mawayem femuechi spacocina reke ;hay también haciendo humo ......como cocina parece \n
1004;tranakunurpuenew tani ñukeyem nga;me dejó botada la era mi madre\n
1005;familia chafo yem ;cuando la familia está con tos\n
1006;fey tüfi kay hoja yem chumngechi kimngekefuy;Y esa hoja como conocía.
1007;hojayem trapimu ;Cuando se oja con ají\n
1008;feymay fey machiyem fey elungekepi kimün tüfey;Por eso es que una machi le dan conocimiento pues.\n
1009;tan ñuke yem anta machingellelafuy;la que era mi madre fue machi pues.\n
1010;inche ñi awelayem ñi koñi ti;la cría de la que era mi abuela\n
1011;pu inche ñukeyem koñi;pues, la hija de la que era mi madre\n
1012;fey ñi chi aweluyem nawmu;ella, la que era mi abuela en el bajo\n
1013;fey malle yem tati rüf inan;y el que era mi tío, el más menor\n
1014;feula kontupukefuy ñi koñiyem ;ahora lo iba ver los que eran mis hijos\n
1015;sungun mu kimkefenew ñi malle yem ;por mi voz me reconocía el que era mi tío\n
1016;üyñi ñikeyem nieku am ;el nombre que me tenía su alma\n
1017;tañi tami awelayem ;la que era tu abuela\n
1018;tami kude awelayem ti mapu llenoantati fey fey ;esa tierra le pertenece la que  era tu abuela anciana, no.\n
1019;feymu llemay ñi chi aweluyem ;por eso claro que su abuelo\n
1020;ñi kureyem ;su ex esposa\n
1021;ñi kude mamayem ;mi anciana madre\n
1022;tukulpayem kom sungu pu;cuando se acordaba de todas las cosas pues.\n
1023;ñi pichi aweluyem ;el que era mi abuelito\n
1024;kay uh trafentuyem che;cuando se ojan las personas\n
1025;ka eymün tamün poyem anümka tüfi peñi;también usteden en su planta agradecida esos hermano? \n
1026;tañi pu fütakecheyem ;nuestro ancianos\n
1027;tañi pucheyem ;mi gente.\n
1028;ta mülevuyem ka ;pues habria también.\n
1029;veytamu ta mülekevuyem ;aqui había \n
1030;nieymufuyem mapu   ;Si tiene su tierra \n
1031;kimfuyem lawen ;sabia si remedio \n
1032;veyta artu chemtufuy yem  ;entonces harto había hecho...\n
1033;petu mongelewi ñi ñukeyem ;todavía estaba viva mi madre \n
1034;inche ñi ñukeyem amuy ante las doce ;yo mi fina  madre fue ante las doce\n
1035;pienew ñi ñukeyem pi;eso me dijo mi fina madre dijo.\n
1036;pikefenew ñukeyem ;me decía mi fina madre  \n
1037;kimeltuy ñi ñukeyem ;lo sabe mi finada madre \n
1038;incheñi kiñe llallayem ;Yo mi una suegra \n
1039;küymiyem machi ;Cuando esta en trance la machi \n
1040;kiñe elaweni inger kevuy yem ;un niñito chico tenia mal pues \n
1041;veypingepatuy ñi koñi yem ay ;Le vinieron a decir mi finado hijo \n
1042;ñi ñukeyem  machitungekevuy ;una madre se le hacía machitun \n
1043;inche vemi ñi koñiyem ti ;a mi hijo le paso eso pues \n
1044;vey ngollirki ñi koñiyem ;entonces estaba bebido mi finado hijo \n
1045;ñi koñiyem inaye ;mi finado hijo a la ves \n
1046;mülevuyem pu;Había pues. \n
1047;mülevuyem pu  ;Están pues \n
1048;pafmuyem che kay ;cuando tiene pasmo la gente pues. \n
1049;elrupuenu ñi fütayem ;me dejo mi marido, \n
1050;tañi rukameu petu mongeli ñi ñukeyem ;en mi casa todavía estaba viva mi mamá \n
1051;iñchiñ ñukeyem ta machingefuy;mi finada madre era machi\n 
1052;pikefeneu taiñ ñukeyem ka;me decía mi finada madre también \n
1053;pikefeneu tañi ñukeyem ;me decía mi finada madre. \n
1054;pelocheki müleyem peloche püllü;hay quienes ven, quienes ven los espirítus\n
1055;taiñ ñukeyem femngechi ta tremiyiñ ;así crecimos con mi finada madre. \n
1056;müleyem ta ngillatun miauki ta;en donde hay rogativa anda el \n
1057;ngütramtukefuy tañi ñukeyem ;conversaba mi finada madre. \n
1058;tumeki tañi ñukeyem kompa püllüli ;cómo hacia mi madre cuando le llegaba el espiritu.\n
1059;taiñ ñukeyem chumli ta;mi madre y como esta  \n
1060;ume feyentuniefiñ tani pütakecheyem ;obedezco mucho a mis mayores\n
1061;chumngechi tañi doy kanayal piyem ka;de que forma pueden ganar más dicen pues.\n
1062; juventud ta kuyfi ta fütakecheyem ;La juventud antiguamente,  los ancianos \n
1063;fey tapüle ngenoyem machiam ;si por aquí no hay machi pues \n
1064;fey kiñeke kay feyngekalüm paysanuyem trürkanolu peñi ;\n
1065;ka küpayayem re pülatamu;para traerlas con pura plata.\n
1066;tukupayayem feyta traf puke re puke domo ;para llegar, solamente puras mujeres \n
1067;ta feychi dungu elüupuel tañi fütakecheyem ;esas cosas, que nos daban nuestros antepasados\n
1068;tañi ngellipuyem peñi;para hacer rogativa hermano.\n
1069;pikefuy tañi fütakecheyem ;decian nuetros antepasados.\n
1070;tañi fütakecheyem ;nuestros antepasados\n
1071;tañi tokituyem noise   rume ;al usar demasiado el hacha\n
1072;tanoise ka pichike adümuwi ñi ñukeyem  ;entonces también la que era mi mamá sabia un poco\n
1073;ka ngenoyem tüfichi kore kore pengelay ;también si no hay ese corre corre no se encuentra.\n
1074;fey ngütamkakefenu ñi ñukeyem ngati ;pero mi finada madre \n
1075;küme famkefuy tañi ñukeyem ;lo hacía bién mi madre\n
1076;ta müte ta yapiwfuy ta füchakecheyem ;bastante duraban los ancianos\n
1077;taiñ fütake cheyem nga ;ellos antigua gente\n
1078;fütakecheyem kimlu;Antigua gente que sabe\n
1079;tami kuye ñukeyem machingefuy;mi vieja madre muerta era machi\n
1080;tañi fütakecheyem lukutukefuy;mi antigua gente muerta se arrodillaba\n
1081;pataka niey ufucha tañi aweluyem anay ;de cien ovela teníamos mi abuelo pues\n
1082;aweluyem anay iñche ünin meli rupachi ;abuelos pues yo pase cuatro veces \n
1083;fey tüfi kay uh hm  allfüyem ;Y eso pues la herida\n
1084;lafnoyem pitalmu yengekeyngün kom ;Para no morir el hospital lo lleban todo\n
1085;welngiyem kay;Cuando se quebaran pues.\n 
1086;kutraniyem peumakeymi lawen;Cuando te enferma sueña el remedio.\n 
1087;piy tati fütake aweluyem witrampüram ;decía los ancianos los abuelos, los levantaban\n
1088;aweluyem ta kuyfi nay;abuelos pues antes.\n 
1089;aweluyem kom kimpafiñ polleratuyawi müten;abuelos todos los conocí andaban con pollera no mas.\n
1090;sumel piy ta fütake aweluyem anay ;sapato dice los ancianos los abuelos\n
1091;kutraniyem foro chumngechi lawentüukefuymün;Cuando tenían dolor de diente como se hacían remedio?\n
1092;müleayem welu amukeymi;Pero cuando hay usted va.\n
1093;rume duravuyem ;harto duraban \n
1094;inche iñ ñukeyem ;mi difunta madre \n
1095;spacien añu kafuyem ka;Había durado cien años también. \n
1096;kuyfiche rume kimfuyem ka ;los antiguos harto sabían también.\n
1097; fey tañi rüleyem afeluwngi ka;ya estoy aburrida de la fiebre también.\n
1098;ruka müleyem che;cuando las personas estan en las casas.\n 
1099;iyem che pütokoyem ko;cuando come la persona y cuando toma agua\n
1100;kutranyem pel;cuando duele la garganta\n
1101;rume kutranyem chi pel uh piken;cuando duele mucho  la garganta digo\n
1102;pütokoyem che;cunado la persoan toma\n
1103;trapituyem ;cuando come ají\n
1104;kore noyem ta yagel ;Cuando no corren los remedios\n
1105;fey empachuleyem che;y cuando las  personas  se empachaban\n
1106;yüfküngeyem uh chi chilko pipen nga;cuando se pica el chilco decía  pues\n
1107;yüfkü ngeyem uh chilef mu;cuando se pica con el  jillett\n
1108;fey firnawyem ;y cuando este se enfría\n
1109;fey pitruyem pichikeche ;y cuando los niños les da la sarna\n
1110;fey puwiyem wariamu;y cuando llega a la ciudad\n
1111;areleyem wekun tripay;o esta caliente y sale para afuera\n
1112;ka kiñekemu areleyem che ;y algunas veces cuando las personas estan acaloradas\n
1113;fey kutran küleyem che ;y cuando la persona esta enferma\n
1114;fey areleyem chi lawen ;y cuando el remedio esta caliente.\n
1115;kuduyem che;cuando la persona se acuesta\n
1116;kudukunuyem che ;cuando se acuesta\n
1117;putokoyem no;cuando bebe no\n
1118;kütrüfingeyem tukungeki lonkomu;y lo estrujado se coloca en la cabeza\n
1119;kiñekemu rume iyem itrofill iyagel;algunas veces, cuando se come muchas comidas diferentes\n
1120;wecha kunuyem nga ;cuando lo deja mal\n
1121;iyal fayiyem iyagel nga tüfi;comida cuando se fermenta la comida.\n 
1122;penoyem lawen che;cuando la persona no encuentra remedio\n
1123;ta tungeyem chi pichikeche;cuando lo toman al niño\n
1124;nentu tami ropa pingeyem ;cuando se lo estan sacando la ropa\n
1125;küsawnoyem dekansaleyen soy kutrankenpi;Cuando no trabaja, si estoy descansado, duele más todavía.\n
1126;welu küsawyem pun  ;Pero cuando trabaja, en la noche.\n
