;Unnamed: 0;Mapudungun;Traduccion
1229;1229;kullin nem la la ngi pingeki tati;Hasta los animales murieron se dice pues \n
1230;1230;ta nien pütrake trem ka;tengo varios hijos también \n
1232;1232;chumngechi tañi fem rumeal kay tüfa;¿ Cómo puede ser esto también?\n
1233;1233;ta müleymi feychi pu trem machi mu;estás donde las machis ancianas pues\n
1234;1234;ñi wentruem ngillatuy maw;mi esposo hizo  hasta rogativa \n
1235;1235;fey erke we trem familiaymi ya;eso es recién hás criado familia ya\n
1236;1236;feyta putrem tuy wüla;ahora ya a crecido\n
1237;1237;spafueyem kuyfikecheyem ;los antiguos llevaban \n\n
1238;1238;iñche iñ  tañi kukuem ;y mi difunto abuelo \n
1239;1239;kuyfi dunguem ;eran palabras antiguas \n
1240;1240;mülefuyem kuyfi tüfa;que estaban antes estas\n
1241;1241;feypikavuiem pütakeche ;así decían los viejos \n
1242;1242;tañi mongekem ;que nos da la vida \n
1244;1244;feypiki tañi chawem ;así decía mi difunto padre \n 
1245;1245;lütraletuki pu pewenem ;\n
1246;1246;chi pewenem tüfa ;las araucarias estas \n\n
1247;1247;chumvuyiñem iñchiñ ;que hicimos nosotros \n
1249;1249;mapuem saltiavingün ;la tierra lo asaltaron \n
1250;1250;feyta piam spareserva indigenayem kuyfi ;así le decían reserva indigena antes \n
1251;1251;cerravemingün mekevuyem ;cerraron altiro \n
1253;1253;apümfi chi boskem ;a acabar con el bosque \n
1254;1254;spadepue fey apümfinluem kechatuavel ;después que lo acabaron lo iban a echar   \n
1255;1255;ta püta kamarikunem ;y entro con una rogativa \n
1256;1256;feyta kalkungekefuy tañi püta abueluem karikondio pingeki;era kalku mi difunto abuelo Karikondio dicen \n
1257;1257;ñi kude abuelayem feypikefuy ;mi difunta vieja abuela decía  \n
1258;1258;ñi lamuenem latuy piki ;donde mi hermana muerta decía \n
1259;1259;spaparece ngelme ñi lamuenem piki fey ;parece que lo llevaron donde las hermanas decía \n
1260;1260;noise fey  spacafé noise uhm  feyti kay uh kiñekemu spainfeccion niem kay ;El café y ese en algunas infecciones tiene y \n
1261;1261;kurengetulu ñi chawem ;cuando se caso mi padre\n
1262;1262;kechu wentru wem nengün ta tüva;cinco hombres tengo ahora\n
1263;1263;kimüymalayu chgem kutran ngen;no le encontro ninguna enfermedad.\n 
1264;1264;inche ñi chawem faltay ;mi padre le falto\n
1266;1266;itrofillem regalo elkünumekepatuken;distintos regalos les venía a dejar \n
1267;1267;fey feypülem feychi;hay,  por ahí, por esa \n
1268;1268;nii itrofilyem nian;voy a tener de todo\n
1269;1269;ayllayem kiñe fayesey throat;Eran nueva, murió uno.\n
1270;1270;ütrufeyem elelmeki;le tiraban cosas\n
1271;1271;feychi üllcha domo kulliem patakakulamarimil killi;por esa mujer joven pagué llegó a los trienta mil\n
1272;1272;küsawnoyem dekansaleyen soy kutrankenpi;Cuando no trabaja, si estoy descansado, duele más todavía.\n
1273;1273;welu küsawyem pun  ;Pero cuando trabaja, en la noche.\n
1274;1274;fem femluchi chaw  ;Eso, eso paso padre.\n
1275;1275;fütra chawem ;a Futra Chawem\n
1276;1276;fem tripay anay peñi;de esa forma sale pues hermano\n
1277;1277;kidu negaunuleyem ;si el no se huebiere negado\n
1278;1278;pafmuyem ta;al entrarle pasmo\n
1279;1279;sangrina yem ngelay;Sanguinaria pues no hay.\n 
1280;1280;itromyem ta ngemu ;de todo en la vista\n
1283;1283;pikefin pefiyem ;le digo al verlos\n
1284;1284;inche petu ñi ñukeyem petu mongeli;cuando mi madre vivia.\n
1285;1285;mülefuy em tati kimnelu  todo;exístian los que sabian todo,\n
1286;1286;perimontuyem che pingi;al ver cosas la gente se dice.\n
1287;1287;ngümayem ñi piti elaweni;lloré por mi pequeño hijo.\n
1288;1288;lüfiem che ;Cuando se quema la gente,\n
1291;1291;ilayin tem rume;...nosotros no comimos nada.\n
1292;1292;fem femuechi müten;todos así nomás\n 
1295;1295;fill dungu mülelayem ;diversas ideas existen pues,\n
1296;1296;alingem  tañi longko ;cuando tiene fiebre su cabeza,\n
1297;1297;rume kofiem ;cuando se acalora mucho,\n
1298;1298;rume alingiem ;cuando tiene la temperatura muy alta\n
1299;1299;ta künkeyem ;....................\n
1300;1300;killkeengu vem ;Con quillque pues \n
1301;1301;fayem yagel;cuando fermenta la comida.\n
1302;1302;vayem yagel ;Cuando fermenta la comida \n
1303;1303;feyta puwiyem pitalmu ta piche rupatuki;ahí llegó en el hospital, pasa un rato. \n
1305;1305;bronkio pulmonar pukem ;Bronquio pulmonra en el invierno\n
1306;1306;  si sewma pukem mawi sewma ;si hace frío en el invierno así ando\n
1307;1307;chawem femngechi kutran ngefuy ;La enfermedad del padre llevaba. \n
1308;1308;lay ñi chawem joven lay ;y murió el padre joven murió.\n
1309;1309;pukem soy wesachengetuken ;En el invierno me siento con mucho malestares\n
1310;1310;püñu tripanoyem wekun ;por el puñu no deben salir afuera,\n
1311;1311;chawem vangelico ngefuy pu;mi finado padre era evangélico pues.\n
1312;1312;kiñeke newentuyem ;algunos que tienen mucha fuerza \n
1313;1313;allfüyem che;Cuando la persona se hace una herida\n
1314;1314;ta pitalmu puwyem che;cuando la persona llega al hospital \n
1315;1315;ta kutrin furi piyem ngati ;cuando habla del dolor de su espalda\n
1316;1316;pütokoyem ;se toma\n
1317;1317;pukem inchin ;Nosotros en el invierno\n
1318;1318;kontukelaymu ta pukem ;no nos molestan en el invierno\n
1319;1319;veychi tripantu pukem ;El invierno de ese año\n
1320;1320;ta pukem ta akuyem;cuando llegaba el invierno\n
1321;1321;uh pukem ta akule;para que cuando llegué el invierno\n
1322;1322;asike jodiw ngi ta pukem vaw tati;Así que es jodido en el invierno acá pues\n  
1323;1323;ta pefun nem piki;decía que había visto\n
1324;1324;perimontufunem ;le había dado el mal de ojo\n
1325;1325;fey lawen fiem  ;y le hizo remedio \n
1326;1326;lawentuwyem ;y se había remediado\n
1327;1327;vey ta küme duam mafiyem ka;entonces se hubiera sentido bien.\n
1328;1328;puwyem ta che;cuando llega la persona\n
1329;1329;veymuke ngütramkayem che;con eso si que conversa la persona\n
1330;1330;trekaleyem pingi;cuando camina dicen\n
1331;1331;füfa ka papay ta mülepayem ;ahora también cuando estan  las  mamita.\n
1333;1333;ka nentukechi pütrem tati ;también lo saca y lo quema  pues \n
1335;1335;ta kulliem ko ka ngemey ;pues Culliem agua también fue haber \n
1336;1336;vey chewpüle ruem amuy tati ;entonces en cualquier parte va pues \n
1337;1337;amualu kulliem ko che ;para ir, cuando paga agua la gente \n
1338;1338;fey reke doy throatnoise doy  ñi füta wekuem ;Como ese mas  mi finado tío materno\n
1339;1339;feyta uh tañi füta wekuem ;También mi anciano tío que era\n
1340;1340; trafoy tañi füta wekuem fey ti ta ;se quebró mi vieja tía así es pues\n
1342;1342;ñi ñi pücha aweluem ;mi viejo abuelo \n
1343;1343;inchiñ ta fantenmu ka fey ta pu trem kületuyin tati;y nosotros hasta aquí hemos ido creciendo pues \n
1345;1345;feyta inange trem llemay pu choyin;estos siguen pues de los hijos mayores \n
1347;1347;wemem müten taiñ pu malle;soy el sobrino más nuevo                                                                                                                                                                                                                                                                                                                           \n
1351;1351;fücha chawem tüfi inchiñ may;mi viejo finado padre , nosotros aquí pues \n
1352;1352;tüfita inange trem müten mülewi;aquí sólo están los menores que siguen \n \n\n
1353;1353;ñi püta chawem tati;mi finado viejo padre pues.\n
1355;1355;  ahora  pücha nawel em ka;ahora el viejo Nahuel, también \n
1356;1356; sí  claro felevuyem ;Sí claro así estaba\n
1357;1357;femlavuyem  no  tienen ;esta así no tiene\n
1358;1358;pingevuyem ka feymu ta amukevuy ;se llamaba también ahí se iba \n
1359;1359;feymu feyemuy ka kuyfiem  sí ;Por eso que antes sí\n
1360;1360; pu feyevuyem ka felevuyem ka ;que estaba así pues, así estaba\n
1361;1361;felefuyem ka;así estaba pues.\n 
1362;1362;ka femkefuyem ka  lo  ;también lo hacían los\n
1363;1363;kidu müten fey akuayem kutran ;Solo no mas y cuando va llegar la enfermedad\n
1364;1364;müleluam trawünkillem mapu inche ;como estoy siempre reuniendo en la tierra yo\n
1365;1365;pukem pu ;En el invierno pues.\n
1366;1366;pukem tripaki;En el invierno sale.\n
1367;1367;pamuyem ka llemay che;Antes le daba pasmo a la gente también.\n
1368;1368;fey ñi kukuem feypi ;la abuela materna le dijo \n
1369;1369;kiduem kimnieñmalanu iñ kutran tüfa ;él no me conocio la enfermedad este, \n
1370;1370;plataem llemay;Eso la plata \n
1371;1371;wingkamu ruem ;en el huinca siquiera \n
1372;1372;piem pewmayüm lawen ta;digo al soñar remedios\n
1373;1373;feyta pitrun pütrem ;así tambien el humop del cigarro\n
1374;1374;kümkeñ piavuluem mapudungunmu ;Kümkeñ deberia decir en mapudungun \n
1375;1375;feyti kiñe pichi che kutraniyem ngekelafuy pital ;y cuando se enferma una guagua no habia ospital \n
1376;1376;wingka pütrem tukuy ;Los huinca lo quemaron \n
1377;1377;ñi chaw em vey ;mi Padre si un poco,\n
1378;1378;kampüle che kutran ñi yem ñi longko;en otra parte la gente le duele la cabeza \n
1379;1379;kiñekem kiñeke ta spaloco ;algunos algunos entonces locos,\n
1380;1380;fem femi may ta feypimekepay may  ;eso lo que hizo si, entonces estaba diciendo si \n
1381;1381;taiñ fütakecheyem noise  y ;de nuestro anciano y \n
1382;1382;fey kintukeiñ fey pukem taiñ lawentual tati ;eso lo que buscamos en el invierno para remedios\t\n
1383;1383;tañi tañi chawem ta iñche ;ami mi finado padre\n
1384;1384;ka feyem ta wedakünungetuy;la otra idea lo dejaron de lado
1385;1385;niefun tañi  familiaem tañi ñuke ta iñche ;alla estaba la familia de mi mama.\n
1388;1388;püntü trem tripatuaymi pingen;a parte va a salir me dijeron.\n
1390;1390;chumeluchi nga ñi fem rumeal ;como me iba a pasar eso\n\n
1391;1391;trem küleyechi che;cuando esta creciendo la gente\n
1392;1392;yefem yenew trem lu;me llevo cuando creció.\n
1395;1395;ñasu felem ;la cuñada \n
1397;1397;pütrem lafuyngün;Artos muriron.\n
1400;1400;mañem kelu kay che nga;Agradece pues también la gente pues.\n\n\n\n
1401;1401;feyta pükem külekatuy ;en el invierno hay\n
1405;1405;llem itrokom kutran müli ta;hay muchas enfermedad \n
1408;1408;dond elo watral küpavuy tañi abuelaem ;de muy lejos vino mi abuela\n
1409;1409;ta pingekeuy kuyfi veyta ütrirmangen tañi domoem ;decian ante envidiaron mi mujer era\n
1410;1410;vem pultrunuiñ noise mekekevun spapor spaahí spacerquita;Me colgue hacia por ahí cerquita\n
1412;1412;familia chafo yem ;cuando la familia está con tos\n
1413;1413;fey tüfi kay hoja yem chumngechi kimngekefuy;Y esa hoja como conocía.
1414;1414;hojayem trapimu ;Cuando se oja con ají\n
1415;1415;  embese traniem ütrüfpuwken pu;a veces cuando me caigo, caigo lejos pues.\n
1416;1416;rume kutraniem lonko;para el dolor de cabeza\n
1418;1418;kuyfimu feyti ñi kuyfi paluem llemay;por ejemplo esa mi antigua tía\n
1423;1423;fem pasi lelinetukefin pu;eso vino hacer y yo lo observaba pues\n
1424;1424;fey ñi chawem engu ;con mi padre
1425;1425;inarumen pitalmu puwülenew ñi chawem ;seguí por sea el caso, mi padre me llevó hasta el hospital\n
1427;1427;awelaem pilewetuken feula may;la que era mi abuela digo ahora\n
1430;1430;üyñi ñikeyem nieku am ;el nombre que me tenía su alma\n
1431;1431;fey incheñ chawem ka üllkükefuy pu;y el que era mi padre también escuchaba pues.\n
1432;1432;feychi inche ñi chaweluem ;y ese era mi pobre abuelo\n
1433;1433;amedia ki ñi chawem ;tomaba a media el que era mi padre\n
1435;1435;ñi awütuy ñi chawem ;la alegría de mi  padre\n
1440;1440;ñi chawem ka feypikefuy ñi ñuke;mi padre también contaba mi madre.\n
1441;1441;tukulpayem kom sungu pu;cuando se acordaba de todas las cosas pues.\n
1443;1443;kuyfi ngañi chi aweluem ;antes el que era mi abuelo\n
1444;1444;kay uh trafentuyem che;cuando se ojan las personas\n
1445;1445;vey machivelem ñi ñuke inche ;y era machi mi madre yo,\n
1448;1448;vey tañi wese papay em ta feyta ;pero mi querida abuelita tambien  \n
1449;1449;tem rume kay  ta;y ninguna cosa eh.\n
1450;1450;pekelan ta inche tem no rume ;No eh visto ningun cosa pues \n
1451;1451;arem uh vamngen müleki  pu;En la calor, esta fecha se encuentra pues. \n\n\n
1453;1453;fey ñi feypinmatu ñi foro mallem kay noise;hay me lo dijo mi hueso tío paterno  pues \n
1454;1454;fem llimay chaw femlli ;Así es padre así es \n
1455;1455;ngillatuem fanteñma rume  ;hago ngillatun hasta hora \n
1456;1456;welu pitrunmeki mawayem ;Pero ...........................\n
1457;1457;müli ka pitrunmeki mawayem femuechi spacocina reke ;hay también haciendo humo ......como cocina parece \n
1458;1458;welu inche ta nien ta ngünayem ;pero yo tengo escogidos en mi casa\n
1459;1459;ta nietuvuiñ ta tüveyvem ;ahora he tenido a esos\n
1462;1462;inche inche tañi chawem ;mi...mi finado padre\n
1463;1463;ta veyta vem ta kimnievuy ;ahora esto se sabe todo\n
1464;1464;vey ñi chawem ;y mi finado padre\n
1465;1465;vem ta pichin ;todo un poco\n
1466;1466;vam  ngüpem am  tati peñi ;\n
1467;1467;vem ta pichin ta ayentututuy ;todo un poco \n
1468;1468;vem tripaki ;todo sale\n\n
1469;1469;vem tripaki ta kiñe ;todo sale un poco\n
1470;1470;vem tripaki ta kiñe chacha ;todo sale un abuelo\n
1474;1474;iñche ta mari pu püñeñ niefunem ;Yo había tenido diez hijos \n
1475;1475;mariwingünem tañi pu püñeñ;habian sido diez hijos.\n
1482;1482;kiñekemu penoyem ;a veces cuando no encuentro \n
1483;1483;feyti kay lamngen kiñekemu trafentuyem che ;y tambien hermana cuando contrae enfermedades maleficas\n
1484;1484;rüleyem ta che ta chengekey tati ;Cuando se resfria la persona pues \n
1485;1485;feyti eymün lawen tuayem ;Ustedes para remediarse \n
1486;1486;asi que kafetuayem rume pütrokongeam ;si se quiere tomar café  se toma eso\n
1488;1488;chawem ta newe kimpalan ;al Padre no lo conocí mucho\n
1489;1489;nielu femngechi naunautuayem ;el que tiene así ............................\n
1490;1490;petu ñi mülen lawen chewem am ;Que  todavía hay remedio ........... \n
1491;1491;fey fem feyta ;Este todos estos\n
1492;1492;wenu petrem manewi tati ;......................\n
1493;1493;tüfaem müna weda umautuki kiñeke ;estos que duermen mucho a veces\n
1494;1494;  si chieli pütrem pütremmu amuaymi ;si tengo cigarro, con cigarro irás\n
1496;1496;spaasí feyta femuechi mongevuyem che ;así de esta manera se mejoraba la gente\n
1498;1498;kiñekemu kutraniem ;Algunas veces cuando se enferman\n
1499;1499;veyta trawawem ;y este golpe\n
1500;1500;kutrantukevuyem ka ;Debía dolerle pues\n\n
1512;1512;kümeke lawenem ;los que eran buenos remedios.\n
1513;1513;kutraniem pipen tati ;cuando tenian enfermedad.\n
1514;1514;kuyvike che kutraniem ;Antiguamente la persona \n
1515;1515;tañi chawem noise;mi padre \n
1518;1518;ñi chawem noise;mi padre\n
1519;1519;mapuem mapuche;el la tierra del mapuche
1520;1520;mawelayem ka vemngechi;De esta forma \n
1521;1521;vemngechi mawayem  ;de esta forma.\n
1522;1522;pürayem trokür mawidamu mawki ;Sube la niebla en el monte\n
1523;1523;pürayem veyengu veyengu may;Ocho ellos ellos \n
1526;1526;chumalam vem vemiawlaymi;Para que lo andas treyendo\n
1528;1528;uhm rupayem che famechi ;cuando le ocurre eso a la gente de esa manera\n
1529;1529;kuifi doy femkefunem ;antes más así hacía pues    \n
1530;1530;feychi lofmeu cheu ñi mülem ;en esa comunidad donde estaba\n
1531;1531;kay ñi ñekeyem pekey fey ñi ;pues de que hay ve de que\n
1532;1532;petu niem llemay ;Todavía tiene claro  \n
1533;1533;feymuyem ngoymaki ti ngülamtun ;Es por eso que se olvida el consejo\n
1534;1534;ñi karüafelem fey femlay  pu ;estar más verde y no fue así pues \n
1535;1535;doy müleyem iyiw ñi mapumu ;más cuando estaba allá en mi tierra\n
1537;1537;tungeel lawentuyem che ;que bebe remedio la gente\n
1538;1538;kallfüraem machi ;Machi de florecer azúl,\n
1539;1539;kallfürayem machi ;Machi de florecer azúl.\n
1540;1540;datuki kutran tati chaw datungeyem ;satun se hace al enfermo padre 
1541;1541;vey vewla datungi kutran datungeyem vey ;ahí ahora le hacen satun al enfermo ese,\n
1542;1542;lonko ngeal llamkümyem vey ;de la cabeza para que no se caiga eso\n
1543;1543;küymiyem machi kidu ;Entra en trance la machi sola \n
1544;1544;chi kutran vey veypiyem amupe ka ;La enfermedad eso dijo que siga también \n
1545;1545;müleyem ngen lawen ngenkülelu lawen ;hay dueño del remedio, tiene su dueño el remedio\n
1546;1546;müleyem ngen lawen ka müleki lawen ;Había dueño del remedio también había remedio\n
1547;1547;müte ngewelay kintuntungeyem ;No hay mucho se debe dejar buscado\n
1548;1548;anümka pukem vey pichi müley chi ;planta de invierno eso hay poco \n
1549;1549;kiñe pütrem pütremküngele;Un cigarro, si lo fuma.\n
1550;1550;nentuyem che  ;a las personas?\n
1552;1552;feymu rume kücha longkokefuyiñ kuyfimuem ;con eso se lavaban mucho el cabello antiguamente.\n
1553;1553;fayiem iyagel chumkimueymün ;se fermenta la comida que los hacen \n
1554;1554;ruem fürkülu feyta ngüf willeñi ;enfriamiento que tranca la orina \n
1555;1555;ñi trüfoniem fey pütokon wadkümün ;mi tos tome ese hervido \n
1564;1564;fem ñi ellkaneal dungu che;de esconder las cosas la gente \n
1565;1565;tañi wekuem ;mi finado tío \n
1566;1566;spano ngelay küdaway ta pütakecheem ;No no había de trabajar los antiguos \n
1567;1567;ta domo ta layem ;una mujer hizo morir \n
1568;1568;ta wiliem ta korü ;cuando dan su comida\n
1569;1569;chi machiem mülefuy;esa machi que había \n
1570;1570;chollem pi kidungünew ta kimngekelay pi ;así no más, por su propia cuenta no se sabe dijo \n
1572;1572;dallem ñi lawenengün ;le daba un remedio a ellos\n
1573;1573;tañi longkoem ta ;así su cabeza \n
1574;1574;inche tañi mamaem ta veypienu ;mi finada mamá a mi me lo decía \n
1575;1575;feytimu ñi chuchuem  llepay ;mi abuela de allí vino a buscar \n
1576;1576;tañi chuchuem tañi matronallem ;mi bauela, la que era mi patrona\n
1577;1577;püta chellem püta chaw diomu ta ;a los mayores el gran padre dios \n
1578;1578;tañi mamallem ta anüñmakefenu;Mi tío me ayudaba.\n
1579;1579;kom kom fillem votillamu nieken ;de todo, de todo tengo en botellas\n
1581;1581;ngerkefuy pilay tañi aguelu em fey trari ;tenía no quiso mi finado abuelo y le amarraron\n
1582;1582;ta kutran dulliniey ta kidu em re pekan ;al enfermo lo elige solo pues y no cualquiera\n
1583;1583;fey wingka kimlay  pu fey kidu em welu ;eso el huinca no lo sabe pues y solo eso pero,\n
1584;1584;inche ta femuchi küdawem am nielu ;Yo así es el trabajo que tengo \n
1585;1585;inviernumu pu pukem tripaki;en el invierno pues sale.\n 
1586;1586;pukem doy elukiam pukem;Invierno mas se da invierno.\n 
1587;1587;kiduem  cajetilla pi;Ellos cajetilla dijo\n
1588;1588;fem kram kümey ka feychi ti chi ka fey;y eso es bueno y también para eso\n
1589;1589;pütake  pu cheiñiem ka;Las grandes personas mayores pues\n
1592;1592;spato spaese kom yiviem ta ;todo eso, todo eso consumía\n
1593;1593;ka kiduem nütrammu fün rüngi piki;también en la conversa frutos del colihue dice.\n
1594;1594;tañi feymu ta mongekeyevunem ;con eso vivían\n
1597;1597;kullüm ngüllu mütrem konlu ;.........piñones ..............\n
1598;1598;küme lawenem küme ;Buenos remedio bueno\n
1599;1599;spasino müleavuy ta kulliñem  che;sino no tendrían animals la gente\n
1601;1601;longkoyem arküy veta spade spa agua;las vertientes de agua se secaron\n
1602;1602;fem ;Todo.\n
1603;1603;padmuyem ;cuando te pasma\n
1604;1604;kiñekeyem pichike sirvikakelayngünam ;algunas veces serviráb un poco\n
1605;1605;ta weke trem ;estos recien crecidos.\n
1609;1609;ñukentuem may ;finada madrastra pues\n
1610;1610;ñekentuem fey feyentuwelayngün ;finada madrastra ellos ya no creyeron\n
1612;1612;ta yetuaymi kom pelotungem ;todo esto llevarás donde te observaron\n
1615;1615;uh rupakey ta pukem ;Han pasado inviernos\n
1616;1616;feyta pukem pikefiyiñ ;entonces el invierno le decimos\n
1617;1617;küme pukem ta elumuayiñ;denos un buen invierno\n
1618;1618;tüfamu ta kürüfkauyem ;aquí cuando hay vientos\n
1619;1619;kümengetuayem ;para tener dias buenos\n
1620;1620;fey tüfamu ta rume ta kümetuyem ;entonces aquí cunado se mejoran los dias\n
1621;1621;fey tüfa ta weküfü ta trafngeyem ;Es cuando uno se encuentra con el diablo\n
1622;1622;ta tukunuyiñ pukem ;tenemos en el invierno\n
1624;1624;fem feymu feymu;Por eso, por eso.\n 
1625;1625;awem kay;\n
1626;1626;fey inangümakefuy tripayem kullin;lloraba cada vez que salian los animales.\n 
1627;1627;soy kutran kuwafuy yem  pu ;mas me hubiese enfermado pués.\n 
1629;1629;kutraniyem che vey yemengeki;Se enfermaban las personas ellas la iban a buscar.\n 
1630;1630;yem servecura ñi machi ngeki ñi ;en Selva oscura era machi su\n
1631;1631;kutraniem tamu mapuche ;Enfermedad tiene aquí el mapuche\n
1632;1632;pafmuyem ñi ange pafmuyem ñi;para el pasmo de la cara pasmo en la.\n 
1633;1633;welngiyem che kuyfi chumngechi ngütan ;Cuando se safaban las persona como componían\n
1634;1634;ta weñeleyem ka;y por que roban pues.
1635;1635;oregano pütrem fey müten ;orégano como sigarro eso no mas\n
1636;1636;kürüfmungi katrü konüyem ;Por el viento cuando entra ahí\n
1638;1638;nialu familia nieki welu fey pipiyem feypipüleafel;Lo que van atener famlia le sale pues así se dice.\n
1639;1639;rapiyem che wechakunuy iyagel ;Vomita la gente cuando le hace mal la comida
1640;1640;kuyfi ta pütrakeche uh entumeayem lawen;Antes los ancianos para sacar remedio\n
1641;1641;meale che entufem meafuyten may;para ir a buscar la gente saca no mas.\n 
1642;1642;entufem mekimüten engün ka;Sacan no más ellos pues.\n 
1643;1643;uh kiñekemu kutraniem foro;Algunas veces me duele la dentadura \n
1644;1644;rume duravuyem ;harto duraban \n
1646;1646;spacien añu kafuyem ka;Había durado cien años también. \n
1647;1647;kuyfiche rume kimfuyem ka ;los antiguos harto sabían también.\n
1648;1648;ngemi kutraniem  ;llevan cuando esta enferma \n
1649;1649; fey tañi rüleyem afeluwngi ka;ya estoy aburrida de la fiebre también.\n
1650;1650;kutraniem tañi matra ;Cuando se enfermo de la canilla \n
1651;1651;tamuem spacelular;también celular?.\n
1652;1652;karganem ta amuken ;Cuando voy a cargar  \n
1653;1653;femechi fey lelinewi feyem ;así lo están mirando \n
1654;1654;feyta wadkümelfin ta foyeem      ;así herví canelo\n
1655;1655;lawentuküfuyem ;queria hacerse remedio \n
1657;1657;feyti atakeyem fey feyta yengeki ;cuando se desmaya ahí lo llevan,\n
1658;1658;ketran fillem nieluam ;trigo, de todo tenía,\n
1660;1660;ta dengüllyem ;y también porotos, \n
1661;1661;ka kullin fülpuyem famechi ;Otros animales se acerca así\n
1662;1662;choyumniem feychi weda newen;lo tiene asa fuerza negativa.\n
1663;1663;kimlan tem chume kim papeltulan ;no sé nada no se leer\n
1664;1664;kim papeltulan kimlan tem chume ;no sabía estudiar no sabía nada\n
1665;1665;kuyvike machiem ;de la machi de ante \n
1666;1666;pütake antikuo machiem tati noise ;que era machi de muy Antigua \n
1667;1667;ñukentuem noise antikuo machi ;que era la tia una machi Antigua \n
1669;1669;pikevuy ñukentuem nütramkakevuy;decian mi tia conversaba\n
1670;1670;pikevuy ñi nütran ñi ñukentuem ;decia en la conversación mi tía.\n
1676;1676;rey mapuem ;que es rey de la tierra \n
1677;1677;tañi spamamá kompa püllüem noise ;mi mamá le entro el espiritu \n
1679;1679;inche ta we trem noise püñeñ wüla ta inche;yo soy criatura recien crecida soy\n
1680;1680;we trem nga inche anay lamngen noise ;soy joven pues hermano \n
1681;1681;noise vey tüva wül noise inche nga we trem ;eso ahora recien yo soy joven \n
1686;1686;feyta pingekefunem tati;eso me decian pues.\t\n
1687;1687;ñi chawem tttttttttt;mi padre\n
1688;1688;tañi peñi chawem tttttttt;los hermanos, el papá,\n
1689;1689;nüan ta mapu feyta piwüyu feyta fem ;agarraré la tierra, eso le dijé, eso hizo\n\n
1691;1691;ñomkawelluem tiyipüle;amansé caballos por ahí\n
1692;1692;feykefuy ñi chawem ;decia mi padre\n
1693;1693;fey may feypikefuy  ñi chawem ;entonces decian mi dufunto padre\n
1694;1694;feypikefuy may ñi chawem ;decian mi padre\n
1695;1695;ñi chawem engu ;mis padres\n
1697;1697;ta che femngechi tremomenu ñi chawem tati ;la persona así cria mi padre pues\n
1698;1698; porque  ñi chawem fawmu tati ;porque mi padre de aquí pues\n
1699;1699;famuechikünungi tañi kukuem ;así quedaron mi abuela fallecida\n
1700;1700;tañi chawem fantenmu ;mi padre fallecio\n
1701;1701;ñi chawem matrimonio miawülu;mi padre que ahora fallecido libreta de matrimonio llevaba \n
1702;1702;ñi chawem rumeñma ;mi padre fallecido muchisimo,\n
1703;1703;fey pukem ;y en el invierno\n
1704;1704;ka wüniem ;y también de amanecida\n
1705;1705;ruka müleyem che;cuando las personas estan en las casas.\n 
1706;1706;iyem che pütokoyem ko;cuando come la persona y cuando toma agua\n
1707;1707;kutranyem pel;cuando duele la garganta\n
1708;1708;kutraniem ;para cuando duele\n
1709;1709;rume kutranyem chi pel uh piken;cuando duele mucho  la garganta digo\n
1710;1710;pütokoyem che;cunado la persoan toma\n
1711;1711;trapituyem ;cuando come ají\n
1712;1712;fem tripaki pukem ;así salen en el invierno\n
1713;1713;kore noyem ta yagel ;Cuando no corren los remedios\n
1714;1714;fey empachuleyem che;y cuando las  personas  se empachaban\n
1715;1715;fey akuliem chi lüfor chi chilko;y cuando se trae ese flor de chilko\n
1716;1716;yüfküngeyem uh chi chilko pipen nga;cuando se pica el chilco decía  pues\n
1717;1717;yüfkü ngeyem uh chilef mu;cuando se pica con el  jillett\n
1718;1718;fey firnawyem ;y cuando este se enfría\n
1719;1719;fey pitruyem pichikeche ;y cuando los niños les da la sarna\n
1720;1720;fey puwiyem wariamu;y cuando llega a la ciudad\n
1721;1721;lamngen müli uh kutraniem foro ;Hermana hay, cuando duele la muela\n
1722;1722;areleyem wekun tripay;o esta caliente y sale para afuera\n
1723;1723;ka kiñekemu areleyem che ;y algunas veces cuando las personas estan acaloradas\n
1724;1724;fey kutran küleyem che ;y cuando la persona esta enferma\n
1725;1725;fey areleyem chi lawen ;y cuando el remedio esta caliente.\n
1726;1726;kuduyem che;cuando la persona se acuesta\n
1727;1727;kudukunuyem che ;cuando se acuesta\n
1728;1728;putokoyem no;cuando bebe no\n
1729;1729;kütrüfingeyem tukungeki lonkomu;y lo estrujado se coloca en la cabeza\n
1730;1730;inche fem femkimneken;yo así lo he sabido\n
1731;1731;kiñekemu rume iyem itrofill iyagel;algunas veces, cuando se come muchas comidas diferentes\n
1732;1732;wecha kunuyem nga ;cuando lo deja mal\n
1733;1733;iyal fayiyem iyagel nga tüfi;comida cuando se fermenta la comida.\n 
1734;1734;kutraniem pürüm;cuando se enferma de inmediato.\n
1735;1735;penoyem lawen che;cuando la persona no encuentra remedio\n
1736;1736;ta tungeyem chi pichikeche;cuando lo toman al niño\n
1737;1737;nentu tami ropa pingeyem ;cuando se lo estan sacando la ropa\n
1738;1738;feychi ruem weya kutranün pipevun;necesito eso por mi mala enfermedad les dije\n
1739;1739;amupevunem feymu;había ido para eso\n
1740;1740;rapi mollfüñem ;vomité sangre.\n
1741;1741;tañi feychi spadolor ta niekelavunem ;ese mi dolor no lo tenía\n
