ISO639.3;language
bqj;Bandial
blp;Blablanga
otl;Otomi (Tilapa)
bit;Berinomo
buy;Bullom So
aot;Atong
mkz;Makasae
mkz;Makalero
hmq;Miao (Eastern Qiandong)
erk;Efate (South)
gho;Ghomara
taq;Tamashek (Mali)
wja;Waja
(d)taq;Tamashek (Burkin Faso)
sgw;Gurage (Sebat Bet)
ajg;Aja (Benin)
ada;Dangme
lic;Hlai
zpx;Zapotec (San Baltazar Loxicha)
kub;Kutep
kih;Kilmeri
miw;Akoye
ago;Tainae
zia;Zia
nou;Ewage-Notu
mcq;Ese
med;Melpa
nii;Nii
imo;Imbongu
nca;Iyo
awx;Awara
ksr;Borong
eme;Emerillon
ojc;Ojibwa (Central)
aoj;Mufian
xbi;Kombio
kms;Kamasau
bjz;Baruga
tim;Timbe
kmu;Kanite
kze;Kosena
waj;Waffa
iws;Iwam (Sepik)
sim;Seim
ham;Hewa
sny;Saniyo-Hiyewe
mnh;Mono
;Dogon (Ben Tey)
dbu;Dogon (Najamba)
;Dogon (Yorno So)
;Dogon (Togo Kan)
;Dogon (Nanga)
ots;Otomi (Estado de México)
;Neo-Aramaic (Barwar)
kxo;Kanoé
jbt;Djeoromitxi
;Otí
tit;Tinigua
spc;Caliana
kqq;Krenak
bnn;Bunun
uun;Pazeh
d(nep);Nepali (Eastern)
qum;Sipakapense
bwm;Biwat
rkg;Rangkas
lnj;Leningitij
gun;Guaraní (Mbyá)
agb;Legbo
duo;Agta (Dupaninan)
adx;Tibetan (Amdo)
avi;Avikam
amm;Ama
buu;Budu
bio;Nai
bdr;Bajau (West Coast)
bxj;Bayungu
cap;Chipaya
csk;Diola-Kasa
dds;Donno So
dhl;Dhalandji
gdb;Gadaba (Kondekor)
guf;Gupapuyngu
guw;Gungbe
huc;‡Hoan
khg;Kham (Dege)
kkh;Khün
kui;Kuikúro
kwy;Iwoyo
gbb;Kaytej
kyz;Kayabí
lbu;Labu
lmu;Lamen
mdw;Mbosi
mge;Mango
mcs;Mambai
moj;Munzumbo
mxe;Ifira-Mele
mdm;Mayogo
bud;Ncàm
ney;Neyo
nlr;Ngarla
nly;Nyamal
sen;Nanerge
kre;Panará
ral;Ralte
ryu;Okinawan (Shuri)
sid;Sidaama
sub;Suku
sii;Shompen
skj;Tangbe
tms;Tima
tvt;Tutsa
ump;Umpila
urt;Urat
vif;Vili
vka;Kariera
vnm;Vinmavis
wbt;Wanman
wgg;Wangkangurru
wkw;Wagawaga (Australia)
wan;Wan
wrm;Warumungu
wwa;Waama
xns;Kanashi
ylr;Yalarnnga
zag;Beria
dba;Bangime
cog;Chong
fij;Fijian (Nadroga)
bdw;Baham
nad;Balyku
wra;Barupu
kwo;Kwomtari
fqs;Momu
lec;Leko
mqf;Momuna
owi;Owininga
mpj;Wangkajunga
hmb;Songhay (Humburi Senni)
bfn;Bunak
mtj;Moskona
;Irish (Old)
